player,age,G,GS,MP,FG,FGA,FG_per,3P,3PA,3P_per,2P,2PA,2P_per,eFG_per,FT,FTA,FT_per,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS_per_G,team
Shai Gilgeous-Alexander,20,50,41,26.2,3.8,8.2,.462,0.5,1.5,.320,3.3,6.7,.494,.491,1.8,2.2,.833,0.7,2.0,2.7,2.9,1.0,0.6,1.8,2.0,9.9,LAC
Patrick Beverley,30,50,21,26.1,2.2,5.8,.377,1.3,3.5,.366,0.9,2.3,.393,.486,1.2,1.7,.738,0.8,3.6,4.4,3.5,0.7,0.5,1.1,3.4,6.9,LAC
Montrezl Harrell,25,50,2,25.8,6.2,9.9,.624,0.0,0.1,.143,6.2,9.8,.631,.625,3.3,5.2,.630,2.4,4.3,6.8,1.7,0.9,1.3,1.4,2.9,15.7,LAC
Lou Williams,32,44,0,25.5,6.0,14.3,.418,1.3,3.7,.356,4.7,10.6,.440,.464,5.4,6.0,.897,0.4,2.6,3.0,5.2,0.6,0.1,2.3,1.0,18.6,LAC
Marcin Gortat,34,43,39,16.3,2.2,4.0,.534,0.0,0.0,,2.2,4.0,.534,.534,0.8,1.1,.729,1.4,4.3,5.7,1.4,0.1,0.5,1.0,2.0,5.1,LAC
Luc Mbah a Moute,32,4,0,15.3,2.0,4.5,.444,0.5,1.5,.333,1.5,3.0,.500,.500,0.5,1.3,.400,0.5,1.3,1.8,0.5,0.3,0.3,0.5,2.0,5.0,LAC
Mike Scott,30,47,0,13.9,1.7,4.3,.394,0.9,2.5,.368,0.8,1.8,.430,.500,0.2,0.3,.625,0.5,2.8,3.3,0.8,0.4,0.2,0.5,1.6,4.5,LAC
Boban Marjanovic,30,32,9,10.3,2.3,3.9,.605,0.0,0.1,.000,2.3,3.8,.615,.605,1.9,2.5,.772,1.4,2.6,4.0,0.6,0.3,0.5,1.1,1.6,6.6,LAC
Tyrone Wallace,24,38,0,10.3,1.7,3.8,.434,0.1,0.3,.154,1.6,3.5,.462,.441,0.5,1.0,.487,0.4,1.2,1.7,0.6,0.4,0.2,0.4,1.4,3.9,LAC
Milos Teodosic,31,15,0,10.0,1.1,2.7,.425,0.7,1.8,.370,0.5,0.9,.538,.550,0.3,0.5,.571,0.2,0.9,1.1,2.1,0.2,0.1,1.4,1.8,3.2,LAC
Jerome Robinson,21,14,0,7.9,1.4,2.9,.488,0.7,1.6,.435,0.7,1.3,.556,.610,0.0,0.0,,0.1,0.8,0.9,0.2,0.1,0.1,0.1,1.3,3.6,LAC
Johnathan Motley,23,11,0,7.4,2.0,4.0,.500,0.0,0.2,.000,2.0,3.8,.524,.500,1.3,2.1,.609,1.2,1.2,2.4,0.5,0.2,0.1,0.7,1.1,5.3,LAC
Sindarius Thornwell,24,33,0,5.3,0.4,0.9,.448,0.1,0.3,.222,0.3,0.6,.550,.483,0.4,0.6,.684,0.1,0.8,0.8,0.3,0.1,0.1,0.4,0.8,1.2,LAC
